id,review
1,"Кофемашина пришла быстро, упаковано отлично. Кофе получается вкусный, но инструкция местами непонятная."
2,"Заказал кроссовки — размер совпал, качество материала хорошее. Носить удобно, запаха нет."
3,"Доставка задержалась на два дня и никто не предупредил. Поддержка отвечала шаблонами, неприятно."
4,"Салон связи подключил тариф без моего согласия. Пришлось тратить время на отключение, больше не приду."
5,"Очень понравился мастер в барбершопе: аккуратно, быстро, учёл мои пожелания. Запишусь ещё."
6,"Наушники работают, звук нормальный, но микрофон слабый — собеседники жалуются на шум."
7,"Ресторан: еда вкусная, порции большие. Но ждать заказ пришлось почти час, хотя зал был полупустой."
8,"Книга пришла с помятыми углами, хотя была пометка «подарок». Возврат оформили без проблем."
9,"Пылесос мощный и лёгкий, удобно чистить фильтр. Но аккумулятора хватает минут на 15, маловато."
10,"В приложении банка после обновления пропали шаблоны платежей. Восстановили только через поддержку."
11,"Отель чистый, персонал вежливый, завтраки разнообразные. Единственный минус — шумно от дороги."
12,"Заказ в интернет-магазине отменили без объяснений, деньги вернули только через неделю."
13,"Курьер позвонил заранее и привёз раньше срока. Всё целое, сервис отличный."
14,"Смартфон греется при обычном использовании и быстро разряжается. Ожидал большего за эти деньги."
15,"Онлайн-курс понравился: много практики, преподаватель отвечает быстро. Но домашки иногда слишком объёмные."

