id,sentiment,topic,summary
1,positive,Кофемашина,"Кофемашина пришла быстро и делает вкусный кофе, но инструкция не всегда понятна."
2,positive,Кроссовки заказ,Заказчик остался доволен качеством и удобством кроссовок.
3,negative,Проблемы с доставкой,"Доставка задержалась, а поддержка не смогла решить проблему."
4,negative,Салон связи,"Салон подключил тариф без согласия клиента, что вызвало недовольство и потери времени."
5,positive,Барбершоп услуги,"Мастер барбершопа сделал отличную работу, учёл все пожелания клиента."
6,negative,Наушники и микрофон,"Наушники имеют нормальный звук, но микрофон работает плохо и вызывает шум."
7,neutral,качество обслуживания,"В ресторане вкусная еда, но долгое ожидание заказа."
8,negative,качество книги,"Книга пришла с помятыми углами, но возврат был оформлен без проблем."
9,neutral,Пылесосы,"Пылесос мощный и лёгкий, но аккумулятора не хватает для длительной работы."
10,negative,Проблемы с обновлением,После обновления приложения банка пропали шаблоны платежей и их удалось восстановить только с помощью поддержки.
11,positive,Отель и сервис,"Отель имеет чистые помещения, вежливый персонал и разнообразные завтраки, но есть проблема с шумом от дороги."
12,negative,интернет магазин,"Заказ был отменен без объяснений, а возврат денег занял целую неделю."
13,positive,Доставка товара,Курьер доставил товар раньше срока и всё прибыло целым.
14,negative,Проблемы смартфона,Смартфон имеет проблемы с перегревом и быстрой разрядкой батареи.
15,positive,Онлайн-курс,"Отзывчик остался доволен онлайн-курсом, но иногда домашние задания были слишком объёмными."
